,name,price,items_sold,rating,seller,city
0,KRUPUK SEBLAK RAFAEL | SEBRING | KERUPUK MAWAR PEDAS DAUN JERUK 250 GR,Rp21.630,70+ terjual,5.0,Toko kue Sumber Mas,Jakarta Timur
1,Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,500+ terjual,4.9,Foodstocks,Jakarta Selatan
2,Seblak Sultan instant,Rp14.000,250+ terjual,4.9,Sultan Meat Shop,Medan
3,Kerupuk Seblak Rafael / Seblak Pedas 250 Gram - Tam Snack,Rp16.000,70+ terjual,5.0,TAM SNACK,Depok
4,KRUPUK STIK RASA UDANG CAP PADI KAPAS KHAS INDRAMAYU BISA BUAT SEBLAK,Rp21.500,250+ terjual,4.9,dariimyu,Kab. Indramayu
5,Kerupuk Mentah 250gr Seblak Mentah,Rp5.900,1rb+ terjual,5.0,Pedas Gilaa,Surabaya
6,Kylafood Seblak Rempah Authentik,Rp10.965,3rb+ terjual,4.9,kylafood,Bandung
7,"seblak krupuk 5000 ,pedas dan gurih",Rp5.000,1rb+ terjual,4.7,anugrah seblak,Kab. Bandung
8,Kerupuk Seblak Beton As Kering Cikruh 500 Gr Bumbu Organik Pedas Gurih,Rp25.500,50+ terjual,4.8,kerudung bunga,Cimahi
9,KERUPUK MENTAH SERBA 5000 BAHAN SEBLAK,Rp6.000,1rb+ terjual,4.9,GK_Snack,Kab. Bandung
10,Gelifood Combo 3pcs Seblak Ceker Tanpa Tulang Super Pedas,Rp85.000,60+ terjual,4.7,Lidigeli,Kab. Garut
11,Kylafood Seblak Cup,Rp13.500,250+ terjual,4.9,Kylafood Jakarta,Jakarta Selatan
12,pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,Rp32.999,100+ terjual,4.9,CUANKI CULAMETAN,Kab. Garut
13,Seblak Instan Premium Bangsatria,Rp21.000,10 terjual,5.0,Foodstocks,Jakarta Selatan
14,siomay mini kering 1kg toping seblak baso aci,Rp24.999,250+ terjual,4.9,CUANKI CULAMETAN,Kab. Garut
15,KERUPUK JABLAY BANTET SEBLAK PELANGI,Rp15.999,500+ terjual,4.9,Toko kue Sumber Mas,Jakarta Timur
16,seblak mercon pedas galak,Rp3.500,3rb+ terjual,4.5,BUGAR STORE.,Kab. Garut
17,seblak instant sajodo snak,Rp18.950,1rb+ terjual,4.9,hikmah berkah jaya,Jakarta Barat
18,Kylafood Paket Seblak Cup isi 4 pcs,Rp50.040,100+ terjual,4.8,kylafood,Bandung
19,SEBLAK INSTAN MOMMY,Rp13.900,1rb+ terjual,4.8,Rav Jaya Display,Kab. Tangerang
20,Kylafood Paket Seblak Cup isi 4 pcs,Rp50.040,100+ terjual,4.8,kylafood,Bandung
21,Seblak Rafael Seblak Beton,Rp15.000,,,toko bemo,Jakarta Timur
22,Kylafood Seblak Mie Baso Sapi Play,Rp23.375,250+ terjual,4.9,kylafood,Bandung
23,Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,Rp12.500,100+ terjual,4.9,Pasar Keripik Bandung,Bandung
24,Kylafood Seblak Mie Baso,Rp24.750,4rb+ terjual,4.9,kylafood,Bandung
25,Kylafood Seblak Original 158 gram,Rp28.500,1rb+ terjual,4.9,Tokopedia NOW!,Jakarta Selatan
26,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK JENGKOL SISIR 1KG,Rp21.750,28 terjual,5.0,SuperSnacksShop,Kab. Bandung
27,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp18.000,500+ terjual,4.8,Lidigeli,Kab. Garut
28,^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,Rp28.000,17 terjual,5.0,siskaarinang2,Bandung
