name,price,market_cap,volume,circulating_supply
Bitcoin,,"$1,242,831,679,165","$39,186,517,444","19,756,640 BTC"
Ethereum,"$2,538.77","$305,530,049,576","$20,310,478,689","120,345,933 ETH"
Tether,$1.00,"$119,101,080,993","$68,061,577,057","119,072,842,113 USDT"
BNB,$567.47,"$82,812,679,068","$1,893,874,643","145,933,665 BNB"
Solana,$147.21,"$68,964,408,894","$3,442,224,067","468,490,791 SOL"
USDC,$1.00,"$35,547,013,668","$6,623,063,716","35,544,514,706 USDC"
XRP,$0.5796,"$32,709,559,920","$1,275,109,001","56,434,507,880 XRP"
Dogecoin,$0.1044,"$15,246,049,810","$683,498,396","146,036,036,384 DOGE"
Toncoin,$5.61,"$14,197,492,670","$259,243,263","2,532,639,771 TON"
TRON,$0.1517,"$13,145,484,554","$299,836,946","86,672,003,500 TRX"
dYdX (Native),$0.9459,"$601,486,762","$24,942,122","635,917,433 DYDX"
Nexo,$1.04,"$583,026,820","$7,128,773","560,000,011 NEXO"
Pendle,$3.62,"$575,423,666","$111,433,678","159,086,671 PENDLE"
Ronin,$1.62,"$565,889,439","$8,367,296","349,099,136 RON"
Decentraland,$0.2951,"$563,166,727","$31,661,782","1,908,319,865 MANA"
Mina,$0.4752,"$551,010,143","$25,703,484","1,159,528,385 MINA"
BinaryX,$1.37,"$511,438,514","$34,704,301","374,266,704 BNX"
Klaytn,$0.1352,"$514,368,748","$15,398,810","3,803,678,792 KLAY"
Chiliz,$0.05603,"$509,109,741","$26,585,542","9,085,685,432 CHZ"
Synthetix,$1.53,"$501,819,993","$25,946,012","327,769,196 SNX"
Ethena USDe,$0.9987,"$2,589,299,255","$57,988,562","2,592,592,496 USDe"
Fellaz,$2.79,"$1,318,637,749","$6,161,868","471,874,940 FLZ"
Zeebu,$4.75,"$1,231,304,900","$34,817,211","258,970,840 ZBU"
Cheelee,$17.20,"$976,660,349","$6,872,399","56,797,262 CHEEL"
Fasttoken,$2.28,"$696,028,632","$207,064,455","304,850,250 FTN"
Frax,$0.9971,"$647,542,759","$6,115,655","649,434,271 FRAX"
Aerodrome Finance,$0.8361,"$523,335,278","$40,608,791","625,894,234 AERO"
Turbo,$0.005939,"$382,997,819","$225,906,905","64,490,000,000 TURBO"
PepeCoin,$3.23,"$377,688,514","$5,881,050","117,031,933 PEPECOIN"
Beldex,$0.05398,"$360,560,388","$10,951,502","6,679,670,531 BDX"
Metars Genesis,$1.45,"$122,063,516","$106,216","84,235,303 MRS"
Delysium,$0.1306,"$121,795,898","$7,441,049","932,586,667 AGI"
Venus,$7.36,"$120,319,438","$4,887,971","16,340,642 XVS"
TrueFi,$0.1006,"$118,627,725","$25,134,993","1,178,865,783 TRU"
DigiByte,$0.006845,"$118,137,192","$2,178,305","17,260,112,888 DGB"
Balancer,$1.97,"$117,967,207","$5,528,256","59,795,455 BAL"
WAX,$0.03337,"$116,723,390","$11,484,765","3,498,043,874 WAXP"
Ontology Gas,$0.2969,"$116,463,004","$18,116,092","392,250,979 ONG"
Pundi X (New),$0.4499,"$116,285,055","$112,270,726","258,491,637 PUNDIX"
iExec RLC,$1.60,"$115,723,704","$4,122,471","72,382,548 RLC"
Portal,$0.297,"$84,086,902","$13,817,044","283,154,815 PORTAL"
Maverick Protocol,$0.2202,"$83,817,137","$7,677,655","380,647,579 MAV"
Spell Token,$0.0005615,"$83,586,177","$5,225,082","148,857,870,971 SPELL"
Hooked Protocol,$0.4459,"$83,240,252","$12,217,311","186,660,920 HOOK"
michi (SOL),$0.1495,"$83,087,593","$11,240,312","555,769,424 $MICHI"
MediBloc,$0.009191,"$83,047,955","$67,415,827","9,035,880,692 MED"
Clearpool,$0.1347,"$81,701,697","$1,170,820","606,598,945 CPOOL"
Request,$0.1057,"$81,259,698","$2,052,860","768,684,253 REQ"
Ark,$0.4417,"$81,073,480","$296,826,101","183,560,794 ARK"
Bazaars,$6.93,"$80,839,792","$208,520","11,672,346 BZR"
GameBuild,$0.003688,"$58,179,578","$9,435,642","15,776,762,231 GAME"
NKN,$0.07406,"$57,671,685","$3,758,393","778,702,625 NKN"
Access Protocol,$0.001601,"$57,030,946","$1,328,983","35,615,804,616 ACS"
LimeWire,$0.192,"$56,833,622","$5,330,656","295,982,476 LMWR"
Hippocrat,$0.05484,"$56,748,442","$1,990,169","1,034,734,273 HPO"
LTO Network,$0.1308,"$56,501,026","$3,166,889","431,933,884 LTO"
Verum Coin,$602.23,"$56,250,865","$991,125","93,405 VERUM"
DAO Maker,$0.2898,"$55,844,539","$2,408,315","192,714,466 DAO"
Stride,$0.6322,"$55,526,767","$41,882","87,825,728 STRD"
Ergo,$0.7108,"$55,117,161","$329,714","77,538,732 ERG"
Cortex,$0.1689,"$37,816,018","$4,395,913","223,899,688 CTXC"
League of Kingdoms Arena,$0.2128,"$37,771,164","$17,232,048","177,523,904 LOKA"
Litentry,$0.6783,"$37,804,555","$4,797,590","55,730,862 LIT"
DecideAI,$0.0771,"$37,678,049","$313,167","488,677,471 DCD"
FUNToken,$0.003469,"$37,616,020","$890,013","10,843,201,660 FUN"
SaitaChain Coin,$0.000862,"$37,409,787","$983,204","43,401,104,265 STC"
FIO Protocol,$0.04696,"$37,149,968","$74,659,758","791,065,828 FIO"
Hunt Town,$0.2932,"$36,992,748","$6,034,202","126,167,678 HUNT"
Boba Network,$0.2151,"$36,916,227","$2,200,281","171,624,232 BOBA"
district0x,$0.03687,"$36,868,773","$500,484","1,000,000,000 DNT"
Koala AI,$0.052955,"$26,920,448","$2,587,709","9,110,383,747,597 KOKO"
Alpaca Finance,$0.1784,"$26,914,300","$7,430,862","150,896,621 ALPACA"
Coreum,$0.06973,"$26,832,229","$1,358,091","384,792,048 COREUM"
LinqAI,$0.1376,"$26,344,783","$2,076,368","191,434,059 LNQ"
FEED EVERY GORILLA,$0.0003265,"$26,292,936","$267,845","80,541,528,882 FEG"
GameStop,$0.003816,"$26,276,499","$10,900,223","6,885,214,218 GME"
Green Satoshi Token (SOL),,"$26,264,142","$536,083","2,003,749,572 GST"
PARSIQ,$0.1004,"$26,118,138","$1,387,483","260,256,872 PRQ"
StrikeX,$0.02996,"$26,033,203","$1,094,591","868,897,093 STRX"
