area,city,lattitude,logitude,property_type,bedrooms,bathrooms,land_area,building_area,floors,maid_bedrooms,maid_bathrooms,certificate,voltage,building_age,year,condition,garage,carport,price
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,4.0,239.0,272.0,2.0,0.0,1.0,shm - sertifikat hak milik,4400 mah,5.0,2017.0,bagus,0,0,2990000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,55.0,69.0,2.0,0.0,0.0,hgb - hak guna bangunan,2200 mah,6.0,2016.0,bagus,0,1,1270000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,119.0,131.0,2.0,1.0,1.0,hgb - hak guna bangunan,2200 mah,1.0,2021.0,bagus,1,1,1950000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,180.0,174.0,2.0,1.0,1.0,shm - sertifikat hak milik,3500 mah,6.0,2016.0,bagus sekali,1,0,3300000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,3.0,328.0,196.0,2.0,1.0,1.0,shm - sertifikat hak milik,3500 mah,9.0,2013.0,bagus,1,1,4500000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,136.0,200.0,2.0,1.0,1.0,shm - sertifikat hak milik,3500 mah,9.0,2013.0,bagus,1,1,2700000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,55.0,50.0,2.0,0.0,0.0,"lainnya (ppjb,girik,adat,dll)",2200 mah,7.0,2015.0,baru,0,1,952000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,1.0,119.0,82.0,2.0,0.0,0.0,shm - sertifikat hak milik,2200 mah,9.0,2013.0,bagus sekali,1,1,1800000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,149.0,2.0,1.0,1.0,hgb - hak guna bangunan,2200 mah,8.0,2014.0,bagus,1,1,2350000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,200.0,2.0,0.0,0.0,,2200 mah,8.0,2014.0,sudah renovasi,1,1,2500000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,193.0,136.0,3.0,1.0,1.0,hgb - hak guna bangunan,3500 mah,7.0,2015.0,bagus,1,1,2700000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,5.0,4.0,192.0,370.0,2.0,1.0,1.0,hgb - hak guna bangunan,3500 mah,4.0,2018.0,baru,0,1,5360000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,2.0,2.0,55.0,50.0,2.0,1.0,1.0,hgb - hak guna bangunan,2200 mah,1.0,2021.0,baru,0,1,952000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,4.0,3.0,119.0,150.0,2.0,0.0,0.0,shm - sertifikat hak milik,2200 mah,8.0,2014.0,bagus,0,0,2250000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,2.0,119.0,150.0,1.0,1.0,1.0,shm - sertifikat hak milik,2200 mah,6.0,2016.0,bagus,1,1,2250000000.0
Summarecon Bekasi, Bekasi,-6.223945,106.9862751,rumah,3.0,3.0,144.0,150.0,1.0,1.0,1.0,"lainnya (ppjb,girik,adat,dll)",2200 mah,6.0,2016.0,bagus,0,1,2450000000.0
